Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund,State_full_name,State_standard,Country
Los Padres Bank,Solvang,CA,32165,Pacific Western Bank,2010-08-20,10282,California,Calif.,United States
Butte Community Bank,Chico,CA,33219,"Rabobank, N.A.",2010-08-20,10278,California,Calif.,United States
Pacific State Bank,Stockton,CA,27090,"Rabobank, N.A.",2010-08-20,10283,California,Calif.,United States
ShoreBank,Chicago,IL,15640,Urban Partnership Bank,2010-08-20,10284,Illinois,Ill.,United States
Imperial Savings and Loan Association,Martinsville,VA,31623,"River Community Bank, N.A.",2010-08-20,10280,Virginia,Va.,United States
Independent National Bank,Ocala,FL,27344,"CenterState Bank of Florida, N.A.",2010-08-20,10281,Florida,Fla.,United States
Community National Bank at Bartow,Bartow,FL,25266,"CenterState Bank of Florida, N.A.",2010-08-20,10279,Florida,Fla.,United States
Palos Bank and Trust Company,Palos Heights,IL,17599,First Midwest Bank,2010-08-13,10277,Illinois,Ill.,United States
Ravenswood Bank,Chicago,IL,34231,Northbrook Bank & Trust Company,2010-08-06,10276,Illinois,Ill.,United States
LibertyBank,Eugene,OR,31964,Home Federal Bank,2010-07-30,10273,Oregon,Ore.,United States
The Cowlitz Bank,Longview,WA,22643,Heritage Bank,2010-07-30,10275,Washington,Wash.,United States
Coastal Community Bank,Panama City Beach,FL,9619,Centennial Bank,2010-07-30,10272,Florida,Fla.,United States
Bayside Savings Bank,Port Saint Joe,FL,57669,Centennial Bank,2010-07-30,10271,Florida,Fla.,United States
Northwest Bank & Trust,Acworth,GA,57658,State Bank and Trust Company,2010-07-30,10274,Georgia,Ga.,United States
Home Valley Bank,Cave Junction,OR,23181,South Valley Bank & Trust,2010-07-23,10266,Oregon,Ore.,United States
SouthwestUSA Bank,Las Vegas,NV,35434,Plaza Bank,2010-07-23,10267,Nevada,Nev.,United States
Community Security Bank,New Prague,MN,34486,Roundbank,2010-07-23,10264,Minnesota,Minn.,United States
Thunder Bank,Sylvan Grove,KS,10506,The Bennington State Bank,2010-07-23,10269,Kansas,Kan.,United States
Williamsburg First National Bank,Kingstree,SC,17837,"First Citizens Bank and Trust Company, Inc.",2010-07-23,10270,South Carolina,S.C.,United States
Crescent Bank and Trust Company,Jasper,GA,27559,Renasant Bank,2010-07-23,10265,Georgia,Ga.,United States
Sterling Bank,Lantana,FL,32536,IBERIABANK,2010-07-23,10268,Florida,Fla.,United States
"Mainstreet Savings Bank, FSB",Hastings,MI,28136,Commercial Bank,2010-07-16,10258,Michigan,Mich.,United States
Olde Cypress Community Bank,Clewiston,FL,28864,"CenterState Bank of Florida, N.A.",2010-07-16,10260,Florida,Fla.,United States
Turnberry Bank,Aventura,FL,32280,NAFH National Bank,2010-07-16,10261,Florida,Fla.,United States
Metro Bank of Dade County,Miami,FL,25172,NAFH National Bank,2010-07-16,10259,Florida,Fla.,United States
First National Bank of the South,Spartanburg,SC,35383,NAFH National Bank,2010-07-16,10263,South Carolina,S.C.,United States
Woodlands Bank,Bluffton,SC,32571,Bank of the Ozarks,2010-07-16,10262,South Carolina,S.C.,United States
Home National Bank,Blackwell,OK,11636,RCB Bank,2010-07-09,10256,Oklahoma,Okla.,United States
USA Bank,Port Chester,NY,58072,New Century Bank,2010-07-09,10254,New York,N.Y.,United States
Ideal Federal Savings Bank,Baltimore,MD,32456,No Acquirer,2010-07-09,10257,Maryland,Md.,United States
Bay National Bank,Baltimore,MD,35462,"Bay Bank, FSB",2010-07-09,10255,Maryland,Md.,United States
High Desert State Bank,Albuquerque,NM,35279,First American Bank,2010-06-25,10252,New Mexico,N.M.,United States
First National Bank,Savannah,GA,34152,"The Savannah Bank, N.A.",2010-06-25,10251,Georgia,Ga.,United States
Peninsula Bank,Englewood,FL,26563,"Premier American Bank, N.A.",2010-06-25,10253,Florida,Fla.,United States
Nevada Security Bank,Reno,NV,57110,Umpqua Bank,2010-06-18,10250,Nevada,Nev.,United States
Washington First International Bank,Seattle,WA,32955,East West Bank,2010-06-11,10249,Washington,Wash.,United States
TierOne Bank,Lincoln,NE,29341,Great Western Bank,2010-06-04,10248,Nebraska,Neb.,United States
Arcola Homestead Savings Bank,Arcola,IL,31813,No Acquirer,2010-06-04,10246,Illinois,Ill.,United States
First National Bank,Rosedale,MS,15814,The Jefferson Bank,2010-06-04,10247,Mississippi,Miss.,United States
Sun West Bank,Las Vegas,NV,34785,City National Bank,2010-05-28,10245,Nevada,Nev.,United States
"Granite Community Bank, NA",Granite Bay,CA,57315,Tri Counties Bank,2010-05-28,10244,California,Calif.,United States
Bank of Florida - Tampa,Tampa,FL,57814,EverBank,2010-05-28,10243,Florida,Fla.,United States
Bank of Florida - Southwest,Naples,FL,35106,EverBank,2010-05-28,10242,Florida,Fla.,United States
Bank of Florida - Southeast,Fort Lauderdale,FL,57360,EverBank,2010-05-28,10241,Florida,Fla.,United States
Pinehurst Bank,Saint Paul,MN,57735,Coulee Bank,2010-05-21,10240,Minnesota,Minn.,United States
Midwest Bank and Trust Company,Elmwood Park,IL,18117,"FirstMerit Bank, N.A.",2010-05-14,10236,Illinois,Ill.,United States
Southwest Community Bank,Springfield,MO,34255,Simmons First National Bank,2010-05-14,10239,Missouri,Mo.,United States
New Liberty Bank,Plymouth,MI,35586,Bank of Ann Arbor,2010-05-14,10237,Michigan,Mich.,United States
Satilla Community Bank,Saint Marys,GA,35114,Ameris Bank,2010-05-14,10238,Georgia,Ga.,United States
1st Pacific Bank of California,San Diego,CA,35517,City National Bank,2010-05-07,10232,California,Calif.,United States
Towne Bank of Arizona,Mesa,AZ,57697,Commerce Bank of Arizona,2010-05-07,10235,Arizona,Ariz.,United States
Access Bank,Champlin,MN,16476,PrinsBank,2010-05-07,10233,Minnesota,Minn.,United States
The Bank of Bonifay,Bonifay,FL,14246,First Federal Bank of Florida,2010-05-07,10234,Florida,Fla.,United States
Frontier Bank,Everett,WA,22710,"Union Bank, N.A.",2010-04-30,10228,Washington,Wash.,United States
BC National Banks,Butler,MO,17792,Community First Bank,2010-04-30,10225,Missouri,Mo.,United States
Champion Bank,Creve Coeur,MO,58362,BankLiberty,2010-04-30,10227,Missouri,Mo.,United States
CF Bancorp,Port Huron,MI,30005,First Michigan Bank,2010-04-30,10226,Michigan,Mich.,United States
Westernbank Puerto Rico,Mayaguez,PR,31027,Banco Popular de Puerto Rico,2010-04-30,10231,Puerto Rico,P.R.,United States
R-G Premier Bank of Puerto Rico,Hato Rey,PR,32185,Scotiabank de Puerto Rico,2010-04-30,10230,Puerto Rico,P.R.,United States
Eurobank,San Juan,PR,27150,Oriental Bank and Trust,2010-04-30,10229,Puerto Rico,P.R.,United States
Wheatland Bank,Naperville,IL,58429,Wheaton Bank & Trust,2010-04-23,10224,Illinois,Ill.,United States
Peotone Bank and Trust Company,Peotone,IL,10888,First Midwest Bank,2010-04-23,10223,Illinois,Ill.,United States
Lincoln Park Savings Bank,Chicago,IL,30600,Northbrook Bank & Trust Company,2010-04-23,10221,Illinois,Ill.,United States
New Century Bank,Chicago,IL,34821,"MB Financial Bank, N.A.",2010-04-23,10222,Illinois,Ill.,United States
Citizens Bank and Trust Company of Chicago,Chicago,IL,34658,Republic Bank of Chicago,2010-04-23,10220,Illinois,Ill.,United States
Broadway Bank,Chicago,IL,22853,"MB Financial Bank, N.A.",2010-04-23,10219,Illinois,Ill.,United States
"Amcore Bank, National Association",Rockford,IL,3735,Harris N.A.,2010-04-23,10218,Illinois,Ill.,United States
City Bank,Lynnwood,WA,21521,Whidbey Island Bank,2010-04-16,10212,Washington,Wash.,United States
Tamalpais Bank,San Rafael,CA,33493,"Union Bank, N.A.",2010-04-16,10217,California,Calif.,United States
Innovative Bank,Oakland,CA,23876,Center Bank,2010-04-16,10214,California,Calif.,United States
Butler Bank,Lowell,MA,26619,People's United Bank,2010-04-16,10211,Massachusetts,Mass.,United States
Riverside National Bank of Florida,Fort Pierce,FL,24067,"TD Bank, N.A.",2010-04-16,10216,Florida,Fla.,United States
AmericanFirst Bank,Clermont,FL,57724,"TD Bank, N.A.",2010-04-16,10210,Florida,Fla.,United States
First Federal Bank of North Florida,Palatka,FL,28886,"TD Bank, N.A.",2010-04-16,10213,Florida,Fla.,United States
Lakeside Community Bank,Sterling Heights,MI,34878,No Acquirer,2010-04-16,10215,Michigan,Mich.,United States
Beach First National Bank,Myrtle Beach,SC,34242,Bank of North Carolina,2010-04-09,10209,South Carolina,S.C.,United States
Desert Hills Bank,Phoenix,AZ,57060,New York Community Bank,2010-03-26,10205,Arizona,Ariz.,United States
Unity National Bank,Cartersville,GA,34678,Bank of the Ozarks,2010-03-26,10208,Georgia,Ga.,United States
Key West Bank,Key West,FL,34684,Centennial Bank,2010-03-26,10206,Florida,Fla.,United States
McIntosh Commercial Bank,Carrollton,GA,57399,CharterBank,2010-03-26,10207,Georgia,Ga.,United States
State Bank of Aurora,Aurora,MN,8221,Northern State Bank,2010-03-19,10203,Minnesota,Minn.,United States
First Lowndes Bank,Fort Deposit,AL,24957,First Citizens Bank,2010-03-19,10204,Alabama,Ala.,United States
Bank of Hiawassee,Hiawassee,GA,10054,Citizens South Bank,2010-03-19,10202,Georgia,Ga.,United States
Appalachian Community Bank,Ellijay,GA,33989,Community & Southern Bank,2010-03-19,10199,Georgia,Ga.,United States
Advanta Bank Corp.,Draper,UT,33535,No Acquirer,2010-03-19,10200,Utah,Utah,United States
Century Security Bank,Duluth,GA,58104,Bank of Upson,2010-03-19,10198,Georgia,Ga.,United States
American National Bank,Parma,OH,18806,The National Bank and Trust Company,2010-03-19,10201,Ohio,Ohio,United States
Statewide Bank,Covington,LA,29561,Home Bank,2010-03-12,10196,Louisiana,La.,United States
Old Southern Bank,Orlando,FL,58182,Centennial Bank,2010-03-12,10197,Florida,Fla.,United States
The Park Avenue Bank,New York,NY,27096,Valley National Bank,2010-03-12,10195,New York,N.Y.,United States
LibertyPointe Bank,New York,NY,58071,Valley National Bank,2010-03-11,10194,New York,N.Y.,United States
Centennial Bank,Ogden,UT,34430,No Acquirer,2010-03-05,10193,Utah,Utah,United States
Waterfield Bank,Germantown,MD,34976,No Acquirer,2010-03-05,10190,Maryland,Md.,United States
Bank of Illinois,Normal,IL,9268,Heartland Bank and Trust Company,2010-03-05,10191,Illinois,Ill.,United States
Sun American Bank,Boca Raton,FL,27126,First-Citizens Bank & Trust Company,2010-03-05,10192,Florida,Fla.,United States
Rainier Pacific Bank,Tacoma,WA,38129,Umpqua Bank,2010-02-26,10189,Washington,Wash.,United States
Carson River Community Bank,Carson City,NV,58352,Heritage Bank of Nevada,2010-02-26,10188,Nevada,Nev.,United States
"La Jolla Bank, FSB",La Jolla,CA,32423,"OneWest Bank, FSB",2010-02-19,10185,California,Calif.,United States
George Washington Savings Bank,Orland Park,IL,29952,"FirstMerit Bank, N.A.",2010-02-19,10184,Illinois,Ill.,United States
The La Coste National Bank,La Coste,TX,3287,Community National Bank,2010-02-19,10186,Texas,Texas,United States
Marco Community Bank,Marco Island,FL,57586,Mutual of Omaha Bank,2010-02-19,10187,Florida,Fla.,United States
1st American State Bank of Minnesota,Hancock,MN,15448,"Community Development Bank, FSB",2010-02-05,10183,Minnesota,Minn.,United States
American Marine Bank,Bainbridge Island,WA,16730,Columbia State Bank,2010-01-29,10178,Washington,Wash.,United States
First Regional Bank,Los Angeles,CA,23011,First-Citizens Bank & Trust Company,2010-01-29,10177,California,Calif.,United States
Community Bank and Trust,Cornelia,GA,5702,SCBT National Association,2010-01-29,10180,Georgia,Ga.,United States
"Marshall Bank, N.A.",Hallock,MN,16133,United Valley Bank,2010-01-29,10182,Minnesota,Minn.,United States
Florida Community Bank,Immokalee,FL,5672,"Premier American Bank, N.A.",2010-01-29,10181,Florida,Fla.,United States
First National Bank of Georgia,Carrollton,GA,16480,Community & Southern Bank,2010-01-29,10179,Georgia,Ga.,United States
Columbia River Bank,The Dalles,OR,22469,Columbia State Bank,2010-01-22,10176,Oregon,Ore.,United States
Evergreen Bank,Seattle,WA,20501,Umpqua Bank,2010-01-22,10172,Washington,Wash.,United States
Charter Bank,Santa Fe,NM,32498,Charter Bank,2010-01-22,10175,New Mexico,N.M.,United States
Bank of Leeton,Leeton,MO,8265,"Sunflower Bank, N.A.",2010-01-22,10174,Missouri,Mo.,United States
Premier American Bank,Miami,FL,57147,"Premier American Bank, N.A.",2010-01-22,10173,Florida,Fla.,United States
Barnes Banking Company,Kaysville,UT,1252,No Acquirer,2010-01-15,10171,Utah,Utah,United States
St. Stephen State Bank,St. Stephen,MN,17522,First State Bank of St. Joseph,2010-01-15,10169,Minnesota,Minn.,United States
Town Community Bank & Trust,Antioch,IL,34705,First American Bank,2010-01-15,10170,Illinois,Ill.,United States
Horizon Bank,Bellingham,WA,22977,Washington Federal Savings and Loan Association,2010-01-08,10168,Washington,Wash.,United States
"First Federal Bank of California, F.S.B.",Santa Monica,CA,28536,"OneWest Bank, FSB",2009-12-18,10167,California,Calif.,United States
Imperial Capital Bank,La Jolla,CA,26348,City National Bank,2009-12-18,10161,California,Calif.,United States
Independent Bankers' Bank,Springfield,IL,26820,The Independent BankersBank (TIB),2009-12-18,10166,Illinois,Ill.,United States
New South Federal Savings Bank,Irondale,AL,32276,Beal Bank,2009-12-18,10163,Alabama,Ala.,United States
Citizens State Bank,New Baltimore,MI,1006,No Acquirer,2009-12-18,10162,Michigan,Mich.,United States
Peoples First Community Bank,Panama City,FL,32167,Hancock Bank,2009-12-18,10165,Florida,Fla.,United States
RockBridge Commercial Bank,Atlanta,GA,58315,No Acquirer,2009-12-18,10164,Georgia,Ga.,United States
SolutionsBank,Overland Park,KS,4731,Arvest Bank,2009-12-11,10160,Kansas,Kan.,United States
"Valley Capital Bank, N.A.",Mesa,AZ,58399,Enterprise Bank & Trust,2009-12-11,10159,Arizona,Ariz.,United States
"Republic Federal Bank, N.A.",Miami,FL,22846,1st United Bank,2009-12-11,10158,Florida,Fla.,United States
Greater Atlantic Bank,Reston,VA,32583,Sonabank,2009-12-04,10156,Virginia,Va.,United States
Benchmark Bank,Aurora,IL,10440,"MB Financial Bank, N.A.",2009-12-04,10154,Illinois,Ill.,United States
AmTrust Bank,Cleveland,OH,29776,New York Community Bank,2009-12-04,10155,Ohio,Ohio,United States
The Tattnall Bank,Reidsville,GA,12080,Heritage Bank of the South,2009-12-04,10153,Georgia,Ga.,United States
First Security National Bank,Norcross,GA,26290,State Bank and Trust Company,2009-12-04,10157,Georgia,Ga.,United States
The Buckhead Community Bank,Atlanta,GA,34663,State Bank and Trust Company,2009-12-04,10152,Georgia,Ga.,United States
Commerce Bank of Southwest Florida,Fort Myers,FL,58016,Central Bank,2009-11-20,10151,Florida,Fla.,United States
Pacific Coast National Bank,San Clemente,CA,57914,Sunwest Bank,2009-11-13,10150,California,Calif.,United States
Orion Bank,Naples,FL,22427,IBERIABANK,2009-11-13,10149,Florida,Fla.,United States
"Century Bank, F.S.B.",Sarasota,FL,32267,IBERIABANK,2009-11-13,10148,Florida,Fla.,United States
United Commercial Bank,San Francisco,CA,32469,East West Bank,2009-11-06,10147,California,Calif.,United States
Gateway Bank of St. Louis,St. Louis,MO,19450,Central Bank of Kansas City,2009-11-06,10146,Missouri,Mo.,United States
Prosperan Bank,Oakdale,MN,35074,"Alerus Financial, N.A.",2009-11-06,10143,Minnesota,Minn.,United States
Home Federal Savings Bank,Detroit,MI,30329,Liberty Bank and Trust Company,2009-11-06,10144,Michigan,Mich.,United States
United Security Bank,Sparta,GA,22286,Ameris Bank,2009-11-06,10145,Georgia,Ga.,United States
North Houston Bank,Houston,TX,18776,U.S. Bank N.A.,2009-10-30,10138,Texas,Texas,United States
Madisonville State Bank,Madisonville,TX,33782,U.S. Bank N.A.,2009-10-30,10142,Texas,Texas,United States
Citizens National Bank,Teague,TX,25222,U.S. Bank N.A.,2009-10-30,10141,Texas,Texas,United States
Park National Bank,Chicago,IL,11677,U.S. Bank N.A.,2009-10-30,10140,Illinois,Ill.,United States
Pacific National Bank,San Francisco,CA,30006,U.S. Bank N.A.,2009-10-30,10139,California,Calif.,United States
California National Bank,Los Angeles,CA,34659,U.S. Bank N.A.,2009-10-30,10134,California,Calif.,United States
San Diego National Bank,San Diego,CA,23594,U.S. Bank N.A.,2009-10-30,10135,California,Calif.,United States
Community Bank of Lemont,Lemont,IL,35291,U.S. Bank N.A.,2009-10-30,10137,Illinois,Ill.,United States
"Bank USA, N.A.",Phoenix,AZ,32218,U.S. Bank N.A.,2009-10-30,10136,Arizona,Ariz.,United States
First DuPage Bank,Westmont,IL,35038,First Midwest Bank,2009-10-23,10128,Illinois,Ill.,United States
Riverview Community Bank,Otsego,MN,57525,Central Bank,2009-10-23,10133,Minnesota,Minn.,United States
Bank of Elmwood,Racine,WI,18321,Tri City National Bank,2009-10-23,10132,Wisconsin,Wis.,United States
Flagship National Bank,Bradenton,FL,35044,First Federal Bank of Florida,2009-10-23,10129,Florida,Fla.,United States
Hillcrest Bank Florida,Naples,FL,58336,Stonegate Bank,2009-10-23,10131,Florida,Fla.,United States
American United Bank,Lawrenceville,GA,57794,Ameris Bank,2009-10-23,10127,Georgia,Ga.,United States
Partners Bank,Naples,FL,57959,Stonegate Bank,2009-10-23,10130,Florida,Fla.,United States
San Joaquin Bank,Bakersfield,CA,23266,Citizens Business Bank,2009-10-16,10126,California,Calif.,United States
Southern Colorado National Bank,Pueblo,CO,57263,Legacy Bank,2009-10-02,10123,Colorado,Colo.,United States
Jennings State Bank,Spring Grove,MN,11416,Central Bank,2009-10-02,10124,Minnesota,Minn.,United States
Warren Bank,Warren,MI,34824,The Huntington National Bank,2009-10-02,10125,Michigan,Mich.,United States
Georgian Bank,Atlanta,GA,57151,"First Citizens Bank and Trust Company, Inc.",2009-09-25,10122,Georgia,Ga.,United States
"Irwin Union Bank, F.S.B.",Louisville,KY,57068,"First Financial Bank, N.A.",2009-09-18,10121,Kentucky,Ky.,United States
Irwin Union Bank and Trust Company,Columbus,IN,10100,"First Financial Bank, N.A.",2009-09-18,10120,Indiana,Ind.,United States
Venture Bank,Lacey,WA,22868,First-Citizens Bank & Trust Company,2009-09-11,10119,Washington,Wash.,United States
Brickwell Community Bank,Woodbury,MN,57736,CorTrust Bank N.A.,2009-09-11,10118,Minnesota,Minn.,United States
"Corus Bank, N.A.",Chicago,IL,13693,"MB Financial Bank, N.A.",2009-09-11,10117,Illinois,Ill.,United States
First State Bank,Flagstaff,AZ,34875,Sunwest Bank,2009-09-04,10114,Arizona,Ariz.,United States
Platinum Community Bank,Rolling Meadows,IL,35030,No Acquirer,2009-09-04,10115,Illinois,Ill.,United States
Vantus Bank,Sioux City,IA,27732,Great Southern Bank,2009-09-04,10116,Iowa,Iowa,United States
InBank,Oak Forest,IL,20203,"MB Financial Bank, N.A.",2009-09-04,10113,Illinois,Ill.,United States
First Bank of Kansas City,Kansas City,MO,25231,Great American Bank,2009-09-04,10112,Missouri,Mo.,United States
Affinity Bank,Ventura,CA,27197,Pacific Western Bank,2009-08-28,10110,California,Calif.,United States
Mainstreet Bank,Forest Lake,MN,1909,Central Bank,2009-08-28,10111,Minnesota,Minn.,United States
Bradford Bank,Baltimore,MD,28312,Manufacturers and Traders Trust Company (M&T Bank),2009-08-28,10109,Maryland,Md.,United States
Guaranty Bank,Austin,TX,32618,BBVA Compass,2009-08-21,10105,Texas,Texas,United States
CapitalSouth Bank,Birmingham,AL,22130,IBERIABANK,2009-08-21,10106,Alabama,Ala.,United States
First Coweta Bank,Newnan,GA,57702,United Bank,2009-08-21,10108,Georgia,Ga.,United States
ebank,Atlanta,GA,34682,"Stearns Bank, N.A.",2009-08-21,10107,Georgia,Ga.,United States
Community Bank of Nevada,Las Vegas,NV,34043,No Acquirer,2009-08-14,10100,Nevada,Nev.,United States
Community Bank of Arizona,Phoenix,AZ,57645,MidFirst Bank,2009-08-14,10101,Arizona,Ariz.,United States
"Union Bank, National Association",Gilbert,AZ,34485,MidFirst Bank,2009-08-14,10102,Arizona,Ariz.,United States
Colonial Bank,Montgomery,AL,9609,"Branch Banking & Trust Company, (BB&T)",2009-08-14,10103,Alabama,Ala.,United States
Dwelling House Savings and Loan Association,Pittsburgh,PA,31559,"PNC Bank, N.A.",2009-08-14,10104,Pennsylvania,Pa.,United States
Community First Bank,Prineville,OR,23268,Home Federal Bank,2009-08-07,10092,Oregon,Ore.,United States
Community National Bank of Sarasota County,Venice,FL,27183,"Stearns Bank, N.A.",2009-08-07,10099,Florida,Fla.,United States
First State Bank,Sarasota,FL,27364,"Stearns Bank, N.A.",2009-08-07,10098,Florida,Fla.,United States
Mutual Bank,Harvey,IL,18659,United Central Bank,2009-07-31,10094,Illinois,Ill.,United States
First BankAmericano,Elizabeth,NJ,34270,Crown Bank,2009-07-31,10097,New Jersey,N.J.,United States
Peoples Community Bank,West Chester,OH,32288,"First Financial Bank, N.A.",2009-07-31,10096,Ohio,Ohio,United States
Integrity Bank,Jupiter,FL,57604,Stonegate Bank,2009-07-31,10095,Florida,Fla.,United States
First State Bank of Altus,Altus,OK,9873,Herring Bank,2009-07-31,10093,Oklahoma,Okla.,United States
Security Bank of Jones County,Gray,GA,8486,State Bank and Trust Company,2009-07-24,10088,Georgia,Ga.,United States
Security Bank of Houston County,Perry,GA,27048,State Bank and Trust Company,2009-07-24,10087,Georgia,Ga.,United States
Security Bank of Bibb County,Macon,GA,27367,State Bank and Trust Company,2009-07-24,10085,Georgia,Ga.,United States
Security Bank of North Metro,Woodstock,GA,57105,State Bank and Trust Company,2009-07-24,10090,Georgia,Ga.,United States
Security Bank of North Fulton,Alpharetta,GA,57430,State Bank and Trust Company,2009-07-24,10089,Georgia,Ga.,United States
Security Bank of Gwinnett County,Suwanee,GA,57346,State Bank and Trust Company,2009-07-24,10086,Georgia,Ga.,United States
Waterford Village Bank,Williamsville,NY,58065,"Evans Bank, N.A.",2009-07-24,10091,New York,N.Y.,United States
Temecula Valley Bank,Temecula,CA,34341,First-Citizens Bank & Trust Company,2009-07-17,10082,California,Calif.,United States
Vineyard Bank,Rancho Cucamonga,CA,23556,California Bank & Trust,2009-07-17,10083,California,Calif.,United States
BankFirst,Sioux Falls,SD,34103,"Alerus Financial, N.A.",2009-07-17,10081,South Dakota,S.D.,United States
First Piedmont Bank,Winder,GA,34594,First American Bank and Trust Company,2009-07-17,10084,Georgia,Ga.,United States
Bank of Wyoming,Thermopolis,WY,22754,Central Bank & Trust,2009-07-10,10080,Wyoming,Wyo.,United States
Founders Bank,Worth,IL,18390,The PrivateBank and Trust Company,2009-07-02,10074,Illinois,Ill.,United States
Millennium State Bank of Texas,Dallas,TX,57667,State Bank of Texas,2009-07-02,10079,Texas,Texas,United States
First National Bank of Danville,Danville,IL,3644,"First Financial Bank, N.A.",2009-07-02,10078,Illinois,Ill.,United States
The Elizabeth State Bank,Elizabeth,IL,9262,Galena State Bank and Trust Company,2009-07-02,10073,Illinois,Ill.,United States
Rock River Bank,Oregon,IL,15302,The Harvard State Bank,2009-07-02,10075,Illinois,Ill.,United States
First State Bank of Winchester,Winchester,IL,11710,The First National Bank of Beardstown,2009-07-02,10077,Illinois,Ill.,United States
John Warner Bank,Clinton,IL,12093,State Bank of Lincoln,2009-07-02,10076,Illinois,Ill.,United States
Mirae Bank,Los Angeles,CA,57332,Wilshire State Bank,2009-06-26,10072,California,Calif.,United States
MetroPacific Bank,Irvine,CA,57893,Sunwest Bank,2009-06-26,10071,California,Calif.,United States
Horizon Bank,Pine City,MN,9744,"Stearns Bank, N.A.",2009-06-26,10070,Minnesota,Minn.,United States
Neighborhood Community Bank,Newnan,GA,35285,CharterBank,2009-06-26,10069,Georgia,Ga.,United States
Community Bank of West Georgia,Villa Rica,GA,57436,No Acquirer,2009-06-26,10068,Georgia,Ga.,United States
First National Bank of Anthony,Anthony,KS,4614,Bank of Kansas,2009-06-19,10066,Kansas,Kan.,United States
Cooperative Bank,Wilmington,NC,27837,First Bank,2009-06-19,10065,North Carolina,N.C.,United States
Southern Community Bank,Fayetteville,GA,35251,United Community Bank,2009-06-19,10067,Georgia,Ga.,United States
Bank of Lincolnwood,Lincolnwood,IL,17309,Republic Bank of Chicago,2009-06-05,10064,Illinois,Ill.,United States
Citizens National Bank,Macomb,IL,5757,Morton Community Bank,2009-05-22,10063,Illinois,Ill.,United States
Strategic Capital Bank,Champaign,IL,35175,Midland States Bank,2009-05-22,10062,Illinois,Ill.,United States
"BankUnited, FSB",Coral Gables,FL,32247,BankUnited,2009-05-21,10061,Florida,Fla.,United States
Westsound Bank,Bremerton,WA,34843,Kitsap Bank,2009-05-08,10060,Washington,Wash.,United States
America West Bank,Layton,UT,35461,Cache Valley Bank,2009-05-01,10057,Utah,Utah,United States
Citizens Community Bank,Ridgewood,NJ,57563,North Jersey Community Bank,2009-05-01,10058,New Jersey,N.J.,United States
"Silverton Bank, NA",Atlanta,GA,26535,No Acquirer,2009-05-01,10059,Georgia,Ga.,United States
First Bank of Idaho,Ketchum,ID,34396,"U.S. Bank, N.A.",2009-04-24,10055,Idaho,Idaho,United States
First Bank of Beverly Hills,Calabasas,CA,32069,No Acquirer,2009-04-24,10054,California,Calif.,United States
Michigan Heritage Bank,Farmington Hills,MI,34369,Level One Bank,2009-04-24,10056,Michigan,Mich.,United States
American Southern Bank,Kennesaw,GA,57943,Bank of North Georgia,2009-04-24,10053,Georgia,Ga.,United States
Great Basin Bank of Nevada,Elko,NV,33824,Nevada State Bank,2009-04-17,10051,Nevada,Nev.,United States
American Sterling Bank,Sugar Creek,MO,8266,Metcalf Bank,2009-04-17,10052,Missouri,Mo.,United States
New Frontier Bank,Greeley,CO,34881,No Acquirer,2009-04-10,10050,Colorado,Colo.,United States
Cape Fear Bank,Wilmington,NC,34639,First Federal Savings and Loan Association,2009-04-10,10049,North Carolina,N.C.,United States
Omni National Bank,Atlanta,GA,22238,No Acquirer,2009-03-27,10048,Georgia,Ga.,United States
"TeamBank, NA",Paola,KS,4754,Great Southern Bank,2009-03-20,10046,Kansas,Kan.,United States
Colorado National Bank,Colorado Springs,CO,18896,Herring Bank,2009-03-20,10045,Colorado,Colo.,United States
FirstCity Bank,Stockbridge,GA,18243,No Acquirer,2009-03-20,10047,Georgia,Ga.,United States
Freedom Bank of Georgia,Commerce,GA,57558,Northeast Georgia Bank,2009-03-06,10044,Georgia,Ga.,United States
Security Savings Bank,Henderson,NV,34820,Bank of Nevada,2009-02-27,10043,Nevada,Nev.,United States
Heritage Community Bank,Glenwood,IL,20078,"MB Financial Bank, N.A.",2009-02-27,10042,Illinois,Ill.,United States
Silver Falls Bank,Silverton,OR,35399,Citizens Bank,2009-02-20,10041,Oregon,Ore.,United States
Pinnacle Bank of Oregon,Beaverton,OR,57342,Washington Trust Bank of Spokane,2009-02-13,10040,Oregon,Ore.,United States
Corn Belt Bank & Trust Co.,Pittsfield,IL,16500,The Carlinville National Bank,2009-02-13,10037,Illinois,Ill.,United States
Riverside Bank of the Gulf Coast,Cape Coral,FL,34563,TIB Bank,2009-02-13,10038,Florida,Fla.,United States
Sherman County Bank,Loup City,NE,5431,Heritage Bank,2009-02-13,10039,Nebraska,Neb.,United States
County Bank,Merced,CA,22574,Westamerica Bank,2009-02-06,10034,California,Calif.,United States
Alliance Bank,Culver City,CA,23124,California Bank & Trust,2009-02-06,10035,California,Calif.,United States
FirstBank Financial Services,McDonough,GA,57017,Regions Bank,2009-02-06,10036,Georgia,Ga.,United States
Ocala National Bank,Ocala,FL,26538,"CenterState Bank of Florida, N.A.",2009-01-30,10032,Florida,Fla.,United States
Suburban FSB,Crofton,MD,30763,Bank of Essex,2009-01-30,10033,Maryland,Md.,United States
MagnetBank,Salt Lake City,UT,58001,No Acquirer,2009-01-30,10031,Utah,Utah,United States
