Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund,State_full_name,State_standard,Country
Heritage Bank of Florida,Lutz,FL,35009,Centennial Bank,2012-11-02,10465,Florida,Fla.,United States
NOVA Bank,Berwyn,PA,27148,No Acquirer,2012-10-26,10463,Pennsylvania,Pa.,United States
Excel Bank,Sedalia,MO,19189,Simmons First National Bank,2012-10-19,10460,Missouri,Mo.,United States
First East Side Savings Bank,Tamarac,FL,28144,Stearns Bank N.A.,2012-10-19,10461,Florida,Fla.,United States
GulfSouth Private Bank,Destin,FL,58073,SmartBank,2012-10-19,10462,Florida,Fla.,United States
First United Bank,Crete,IL,20685,"Old Plank Trail Community Bank, National Association",2012-09-28,10459,Illinois,Ill.,United States
Truman Bank,St. Louis,MO,27316,Simmons First National Bank,2012-09-14,10458,Missouri,Mo.,United States
First Commercial Bank,Bloomington,MN,35246,Republic Bank & Trust Company,2012-09-07,10457,Minnesota,Minn.,United States
Waukegan Savings Bank,Waukegan,IL,28243,First Midwest Bank,2012-08-03,10456,Illinois,Ill.,United States
Jasper Banking Company,Jasper,GA,16240,Stearns Bank N.A.,2012-07-27,10455,Georgia,Ga.,United States
Second Federal Savings and Loan Association of Chicago,Chicago,IL,27986,Hinsdale Bank & Trust Company,2012-07-20,10453,Illinois,Ill.,United States
Heartland Bank,Leawood,KS,1361,Metcalf Bank,2012-07-20,10452,Kansas,Kan.,United States
First Cherokee State Bank,Woodstock,GA,32711,Community & Southern Bank,2012-07-20,10450,Georgia,Ga.,United States
Georgia Trust Bank,Buford,GA,57847,Community & Southern Bank,2012-07-20,10451,Georgia,Ga.,United States
The Royal Palm Bank of Florida,Naples,FL,57096,First National Bank of the Gulf Coast,2012-07-20,10454,Florida,Fla.,United States
Glasgow Savings Bank,Glasgow,MO,1056,Regional Missouri Bank,2012-07-13,10449,Missouri,Mo.,United States
Montgomery Bank & Trust,Ailey,GA,19498,Ameris Bank,2012-07-06,10448,Georgia,Ga.,United States
The Farmers Bank of Lynchburg,Lynchburg,TN,1690,Clayton Bank and Trust,2012-06-15,10447,Tennessee,Tenn.,United States
Security Exchange Bank,Marietta,GA,35299,Fidelity Bank,2012-06-15,10446,Georgia,Ga.,United States
Putnam State Bank,Palatka,FL,27405,Harbor Community Bank,2012-06-15,10445,Florida,Fla.,United States
Waccamaw Bank,Whiteville,NC,34515,First Community Bank,2012-06-08,10444,North Carolina,N.C.,United States
Farmers' and Traders' State Bank,Shabbona,IL,9257,First State Bank,2012-06-08,10442,Illinois,Ill.,United States
Carolina Federal Savings Bank,Charleston,SC,35372,Bank of North Carolina,2012-06-08,10441,South Carolina,S.C.,United States
First Capital Bank,Kingfisher,OK,416,F & M Bank,2012-06-08,10443,Oklahoma,Okla.,United States
"Alabama Trust Bank, National Association",Sylacauga,AL,35224,Southern States Bank,2012-05-18,10440,Alabama,Ala.,United States
"Security Bank, National Association",North Lauderdale,FL,23156,Banesco USA,2012-05-04,10439,Florida,Fla.,United States
Palm Desert National Bank,Palm Desert,CA,23632,Pacific Premier Bank,2012-04-27,10437,California,Calif.,United States
Plantation Federal Bank,Pawleys Island,SC,32503,First Federal Bank,2012-04-27,10438,South Carolina,S.C.,United States
"Inter Savings Bank, fsb D/B/A InterBank, fsb",Maple Grove,MN,31495,Great Southern Bank,2012-04-27,10436,Minnesota,Minn.,United States
HarVest Bank of Maryland,Gaithersburg,MD,57766,Sonabank,2012-04-27,10435,Maryland,Md.,United States
Bank of the Eastern Shore,Cambridge,MD,26759,No Acquirer,2012-04-27,10434,Maryland,Md.,United States
"Fort Lee Federal Savings Bank, FSB",Fort Lee,NJ,35527,Alma Bank,2012-04-20,10433,New Jersey,N.J.,United States
